Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term,meter_price
131,3,2,Gianaclis,1500000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,11450.381679389313
172,4,2,Smoha,3523884,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10,0.0,Not_In_Compound,2025,Finished,20487.697674418603
130,3,1,Miami,1250000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,9615.384615384615
100,2,1,Seyouf,580000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,5800.0
200,3,2,Laurent,3500000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,17500.0
200,3,2,Smoha,2750000,0,1,1,1,1,0,1,1,1,0,0,0,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,13750.0
135,3,1,Sidi Beshr,630000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Semi Finished,4666.666666666667
217,3,3,Smoha,3650000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,16820.276497695853
212,4,3,Smoha,3550000,0,1,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,16745.283018867925
100,2,1,Smoha,1500000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,15000.0
125,2,2,Asafra,1500000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,12000.0
186,3,2,Roushdy,2550000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,13709.677419354839
105,3,1,Agami,500000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,4761.9047619047615
67,3,1,Seyouf,450000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,6716.417910447762
175,3,2,Sidi Beshr,1250000,1,1,1,1,1,1,1,1,0,0,0,1,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,7142.857142857143
132,3,1,Al Ibrahimiyyah,1400000,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,10606.060606060606
170,3,2,Laurent,1750000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,10294.117647058823
110,2,1,Agami,430000,1,1,1,1,0,1,1,1,0,0,1,1,1,1,Apartment,2,0.0,Not_In_Compound,Ready,Finished,3909.090909090909
200,2,2,Nakheel,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Duplex,5,0.0,Nakheel,Ready,Finished,1700.0
160,3,2,Miami,3000000,1,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,5,1.0,Not_In_Compound,Ready,Finished,18750.0
100,2,1,Nakheel,290000,1,1,1,1,0,1,0,1,0,0,0,0,0,0,Apartment,5,0.0,Nakheel,Ready,Finished,2900.0
135,2,1,Roushdy,1750000,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,12962.962962962964
175,3,2,Laurent,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,10285.714285714286
125,2,2,Smoha,2375000,0,1,1,1,1,1,1,1,0,0,0,1,0,1,Apartment,5,0.0,Murooj,2024,Finished,19000.0
114,2,2,Smoha,1995000,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Apartment,3,0.0,Murooj,soon,Finished,17500.0
92,2,1,Stanley,2500000,0,1,1,1,1,1,1,1,0,1,1,1,0,1,Apartment,3,0.0,Not_In_Compound,2025,Finished,27173.91304347826
160,3,1,Sidi Gaber,1350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,8437.5
145,3,2,Moharam Bik,3262500,0,1,1,1,1,1,1,1,0,0,0,1,0,1,Apartment,5,0.0,Not_In_Compound,within 6 months,Finished,22500.0
80,2,1,Seyouf,250000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,Not_In_Compound,soon,Finished,3125.0
177,3,2,Moharam Bik,3450000,0,1,1,1,0,1,1,1,0,1,1,1,0,1,Apartment,4,0.0,Not_In_Compound,soon,Finished,19491.525423728814
70,2,1,Agami,220000,1,1,1,1,1,0,1,1,1,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,3142.8571428571427
